"Macao SAR, China",..,..,..,..,..,..,..,..,..,..,..
Madagascar,136934.5,130306.7,125355.44,125223.26,125091.08,124958.9,124826.8,124694.6,124562.4,124430.3,124298.1
Malawi,35017,30817,25777,25357,24937,24517,24097,23677,23257,22837,22417
Malaysia,206185,196913.5,191542.78,192575.92,193609.06,194642.2,193146.4,192644.9,192143.4,191641.9,191140.4
Maldives,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
Mali,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960
Malta,3.5,3.5,3.5,3.5,3.5,3.5,3.8,4.2,4.6,4.6,4.6
Marshall Islands,..,94,94,94,94,94,94,94,94,94,94
Mauritania,4760.4,4216.4,3563.6,3509.2,3454.8,3400.4,3346,3292,3237,3183,3128
Mauritius,410.7,419.3,383.54,383.36,383.18,383,382.9,386.5,386.9,387.3,387.7
Mexico,705916.5,683813.5,666983.5,665758.7,664533.9,663309.1,662031.5,660753.8,659476.1,658198.5,656920.8
"Micronesia, Fed. Sts.",..,638.6,641.86,642.14,642.42,642.7,643,643.3,643.6,643.9,644.2
Moldova,..,3444,3792.6,3816.4,3840.2,3864,3865,3865,3865,3865,3865
Monaco,0,0,0,0,0,0,0,0,0,0,0
Mongolia,143520,142639,141816.72,141805.58,141794.44,141783.3,141772.2,141761.1,141750,141738.9,141727.8
Montenegro,..,..,8270,8270,8270,8270,8270,8270,8270,8270,8270
Morocco,54852.9,55065.4,56786.18,56806.42,56826.66,56846.9,56997.9,57115.9,57215.9,57320.9,57424.9
Mozambique,433780,411880,385592.84,383528.56,381464.28,379400,376282.9,374066,372241.68,369661.1,367437.6
Myanmar,392184.8,348681.1,308615.76,305718.64,302821.52,299924.4,297027.3,294130.2,291233.1,288336,285438.9
Namibia,87691.7,80590.84,72069.74,71359.66,70649.58,69939.5,69229.4,68519.3,67809.2,67099.1,66389
Nauru,0,0,0,0,0,0,0,0,0,0,0
Nepal,56720,57807.6,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3
Netherlands,3453.3,3595,3700.2,3682.9,3665.6,3648.3,3657.6,3667,3676.3,3685.7,3695
New Caledonia,8311.3,8378.5,8388.2,8387.2,8386.2,8385.2,8384.2,8383.2,8382.2,8381.2,8380.2
New Zealand,93722.7,98504.4,98475.16,98472.14,98469.12,98466.1,98467.5,98508.5,98551.5,98655.2,98925.9
Nicaragua,63993.2,53993.2,40759.02,40197.78,39636.54,39075.3,38075.3,37075.3,36075.3,35075.3,34075.3
Niger,19450,13281,11790.6,11666.4,11542.2,11418,11293.8,11169.6,11045.4,10921.2,10797
Nigeria,265260.9,248930.4,229333.68,227700.62,226067.56,224434.5,222801.479,221168.5,219535.5,217902.5,216269.5
North Macedonia,..,9575.5,9740.18,9808.12,9876.06,9944,10016.7,10014.9,10014.9,10014.9,10014.9
Northern Mariana Islands,..,319.6,299.88,298.22,296.56,294.9,243.6,243.6,243.6,243.6,243.6
Norway,121320,121130,121176,121254,121332,121410,121488,121566,121644,121722,121800
Oman,30,30,30,30,30,30,28,27,26,25,25
Pakistan,1447.4,45112.6,40292.78,39970.52,39648.26,39326,38682.4,38499.2,38085.8,37672.4,37259
Palau,..,395.8,407.32,408.18,409.04,409.9,410.8,411.6,412.5,413.3,414.1
Panama,46074,44421.4,43051.58,42937.42,42823.26,42709.1,42595,42480.8,42366.7,42252.5,42138.4
Papua New Guinea,363996.8,362779.663,361170.995,360862.066,360553.138,360244.209,359898.8,359563.5,359228.2,358892.9,358557.6
Paraguay,255458.6,229916.5,187417.02,183274.48,179131.94,174989.4,173331.3,169402.7,166609.3,163816,161022.6
Peru,764485.4,752978.3,737076.92,735366.38,733655.84,731945.3,730102.8,728347.8,726760.4,725032,723303.7
Philippines,77788.1,73092.6,69094.92,69443.78,69792.64,70141.5,70490.4,70839.3,71188.1,71537,71885.9
Poland,88820,90590,93654,93836,94018,94200,94350,94470,94590,94710,94830
Portugal,33990,32810,32760,32880,33000,33120,33120,33120,33120,33120,33120
Puerto Rico,3203.3,4291.5,4924.22,4929.08,4933.94,4938.8,4943.7,4948.6,4953.5,4958.4,4963.3
Qatar,0,0,0,0,0,0,0,0,0,0,0
Romania,63710,63660,66693.84,67465.76,68237.68,69009.6,69290.5,69290.5,69290.5,69290.5,69290.5
